,College Name,New_name
20026,Omdayal Group of Institutions 275 ,Omdayal Group of Institutions  
20027,Omega College of Business Management ,Omega College of Business Management 
20028,Omega College of Computer Application ,Omega College of Computer Application 
20029,Omega College of Education ,Omega College of Education 
20030,Omega College of Pharmacy ,Omega College of Pharmacy 
20031,OMEGA COMPUTER INSTITUTION MANDI ,OMEGA COMPUTER INSTITUTION MANDI 
20032,Omega Degree College ,Omega Degree College 
20033,Omega P.G College ,Omega P.G College 
20034,OMKAR COLLEGE OF PROF. STUDIES ,OMKAR COLLEGE OF PROF. STUDIES 
20035,Omkarananda Institute of Management & Technology ,Omkarananda Institute of Management  Technology 
20036,Omkarnand Saraswati Degree College,Omkarnand Saraswati Degree College
20037,Omm Muruga College of Education ,Omm Muruga College of Education 
20038,Omsai Shikshan Prasarak Mandal,Omsai Shikshan Prasarak Mandal
20039,Omshree Mahavidyalaya,Omshree Mahavidyalaya
20040,OMVIR SINGH SIYA RAM MAHAVIDHYALAYA,OMVIR SINGH SIYA RAM MAHAVIDHYALAYA
20041,Onda Thana Mahavidyalaya ,Onda Thana Mahavidyalaya 
20042,Onkarmal Somani College of Commerce,Onkarmal Somani College of Commerce
20043,Onkarmal Somani Education College,Onkarmal Somani Education College
20044,OOA-MAVMM SCHOOL OF MANAGEMENT,OOAMAVMM SCHOOL OF MANAGEMENT
20045,OP EDUCATIONAL SOCIETY'S SCIENCE COLLEGE,OP EDUCATIONAL SOCIETYS SCIENCE COLLEGE
20046,OP ES'S ARTS,OP ESS ARTS
20047,OP S'S LATE R.B.GARUD KALA & WANIJYA MAHAVIDYALAYA,OP SS LATE R.B.GARUD KALA  WANIJYA MAHAVIDYALAYA
20048,OPERA COLLEGE OF NURSING,OPERA COLLEGE OF NURSING
20049,OPS Mahavidyalaya,OPS Mahavidyalaya
20050,OPTIMUS COLLEGE HIGHER STUDIES ,OPTIMUS COLLEGE HIGHER STUDIES 
20051,Orange city College of Social Work ,Orange city College of Social Work 
20052,Orange City Institute of Higher Education,Orange City Institute of Higher Education
20053,Orbit Computer Institute ,Orbit Computer Institute 
20054,ORBIT INSTITUTE OF COMPUTER SCIENCE UJJAIN ,ORBIT INSTITUTE OF COMPUTER SCIENCE UJJAIN 
20055,ORENTAL B ED COLLEGE ,ORENTAL B ED COLLEGE 
20056,Oriental College,Oriental College
20057,Oriental College ,Oriental College 
20058,Oriental College of Education ,Oriental College of Education 
20059,Oriental College of Hotel Management & Culinary Arts,Oriental College of Hotel Management  Culinary Arts
20060,Oriental College of Management,Oriental College of Management
20061,ORIENTAL COLLEGE OF NURSING,ORIENTAL COLLEGE OF NURSING
20062,Oriental College of Nursing ,Oriental College of Nursing 
20063,Oriental College of Pharmacy and Research,Oriental College of Pharmacy and Research
20064,ORIENTAL COLLEGE OF TEACHER EDUCATION,ORIENTAL COLLEGE OF TEACHER EDUCATION
20065,Oriental Education Society College of Arts Commerce & Science Oriental Building Adarsh Nagar New Link Road Andheri West Mumbai 400 102 ,Oriental Education Society College of Arts Commerce  Science Oriental Building Adarsh Nagar New Link Road Andheri West Mumbai   
20066,Oriental Education Societys College of Arts Commerce & Science Sanpada Navi Mumbai ,Oriental Education Societys College of Arts Commerce  Science Sanpada Navi Mumbai 
20067,Oriental Education Societys College of Pharmacy Sanpada Navi Mumbai ,Oriental Education Societys College of Pharmacy Sanpada Navi Mumbai 
20068,Oriental Education Societys Oriental College of Education Opp Sanpada Railway Station ,Oriental Education Societys Oriental College of Education Opp Sanpada Railway Station 
20069,Oriental Educational Societys Oriental College of Education & Research Oriental Building Adarsh Nagar Behind Lotus Petrol Pump Andheri ,Oriental Educational Societys Oriental College of Education  Research Oriental Building Adarsh Nagar Behind Lotus Petrol Pump Andheri 
20070,Oriental Engineering College,Oriental Engineering College
20071,Oriental Inst. of Management Raisen Road,Oriental Inst. of Management Raisen Road
20072,Oriental Institute of Science & Technology,Oriental Institute of Science  Technology
20073,Oriental Institute of Science and Technology ,Oriental Institute of Science and Technology 
20074,Oriental Law Institute,Oriental Law Institute
20075,Oriental School of Hotel Management,Oriental School of Hotel Management
20076,Oriental Urdu College ,Oriental Urdu College 
20077,Orissa Academy of Social Sciences and Integrated Studies ,Orissa Academy of Social Sciences and Integrated Studies 
20078,Orissa College of Engineering & Management,Orissa College of Engineering  Management
20079,Orissa Engineering College ,Orissa Engineering College 
20080,Orissa Institute of Media Science and Culture ,Orissa Institute of Media Science and Culture 
20081,ORNATE INSTITUTE OF LAW SAMPLA BEGUMPUR,ORNATE INSTITUTE OF LAW SAMPLA BEGUMPUR
20082,ORNATE INSTITUTE OF TECHNOLOGY SAMPLA BEGUMPUR,ORNATE INSTITUTE OF TECHNOLOGY SAMPLA BEGUMPUR
20083,Orphanage Arabic College Kanhangad ,Orphanage Arabic College Kanhangad 
20084,ORPHANS EDUCATIONAL TRUST ARABIC COLLEGE,ORPHANS EDUCATIONAL TRUST ARABIC COLLEGE
20085,ORUGALLU DEGREE COLLEGE,ORUGALLU DEGREE COLLEGE
20086,Osmania College ,Osmania College 
20087,Osmania College of Education,Osmania College of Education
20088,Osmania Medical College,Osmania Medical College
20089,Osmania Medical College ,Osmania Medical College 
20090,Osteen College,Osteen College
20091,Oswal Shikshan & Rahat Sangh Sanchalit Shree Halari Visa Oswal College of Commerce at Near Bhiwandi Road Railway Station Anjurphata Bhiwandi Dist Thane ,Oswal Shikshan  Rahat Sangh Sanchalit Shree Halari Visa Oswal College of Commerce at Near Bhiwandi Road Railway Station Anjurphata Bhiwandi Dist Thane 
20092,Oupada College ,Oupada College 
20093,Our College of Applied Sciences,Our College of Applied Sciences
20094,Our Lady College of Education ,Our Lady College of Education 
20095,Our Lady of Grace Trusts St.Gonsalo Garcia College of Arts and Commerce Behind Bassein Cricket Ground Near Bassein Bus Depot Bassein 401 201 ,Our Lady of Grace Trusts St.Gonsalo Garcia College of Arts and Commerce Behind Bassein Cricket Ground Near Bassein Bus Depot Bassein   
20096,OUR LADY OF HEALTH COLLEGE OF NURSING,OUR LADY OF HEALTH COLLEGE OF NURSING
20097,Owaisi College of Nursing,Owaisi College of Nursing
20098,Oxbridge Business School,Oxbridge Business School
20099,Oxbridge College of Science & Commerce ,Oxbridge College of Science  Commerce 
20100,OXFORD COLLEGE ,OXFORD COLLEGE 
20101,Oxford College of Arts,Oxford College of Arts
20102,Oxford College of Business Administration Keshwapur Sholapur Road,Oxford College of Business Administration Keshwapur Sholapur Road
20103,Oxford College of Commerce,Oxford College of Commerce
20104,Oxford College of Computer Applications Keshwapur,Oxford College of Computer Applications Keshwapur
20105,OXFORD COLLEGE OF EDUCATION ,OXFORD COLLEGE OF EDUCATION 
20106,Oxford College of Engineering,Oxford College of Engineering
20107,Oxford College of Engineering ,Oxford College of Engineering 
20108,Oxford College of Engineering and Management ,Oxford College of Engineering and Management 
20109,OXFORD COLLEGE OF PHARMACY,OXFORD COLLEGE OF PHARMACY
20110,Oxford College of Pharmacy ,Oxford College of Pharmacy 
20111,Oxford Degree College,Oxford Degree College
20112,Oxford Degree College ,Oxford Degree College 
20113,Oxford Degrree College,Oxford Degrree College
20114,Oxford Engineering College ,Oxford Engineering College 
20115,Oxford Girls College of Education ,Oxford Girls College of Education 
20116,OXFORD MODEL INSTITUTE OF ADVANCE STUDIES,OXFORD MODEL INSTITUTE OF ADVANCE STUDIES
20117,OZAR VIKAS SANSTHAs VISHWASATTYA COLLEGE OF MBA,OZAR VIKAS SANSTHAs VISHWASATTYA COLLEGE OF MBA
20118,Ozar Vikas Sansthas Vishwasatya Arts & Commerce College,Ozar Vikas Sansthas Vishwasatya Arts  Commerce College
20119,Ozar Vikas Sansthas Vishwasatya B.Ed. College,Ozar Vikas Sansthas Vishwasatya B.Ed. College
20120,Ozar Vikas Sansthas Vishwasatya Institute of Management and Research Centre,Ozar Vikas Sansthas Vishwasatya Institute of Management and Research Centre
20121,P & T PATEL COLLEGE OF EDUCATION ,P  T PATEL COLLEGE OF EDUCATION 
20122,P A College of Engineering,P A College of Engineering
20123,P D A College of Engineering,P D A College of Engineering
20124,P D hinduja national hospital and research centre ,P D hinduja national hospital and research centre 
20125,P D Kharkhanis College of Arts and Commerce College Kansai Section Ambernath Dist Thane 421 501 ,P D Kharkhanis College of Arts and Commerce College Kansai Section Ambernath Dist Thane   
20126,P D M COLLEGE OF ENGINEERING FOR WOMEN ,P D M COLLEGE OF ENGINEERING FOR WOMEN 
20127,P D U HOSPITAL GOVERNMENT COLLEGE OF NURSING,P D U HOSPITAL GOVERNMENT COLLEGE OF NURSING
20128,P D WOMENS COLLEGE,P D WOMENS COLLEGE
20129,P E S College of Engineering,P E S College of Engineering
20130,P E S Institute of Technology,P E S Institute of Technology
20131,P E S School of Engineering,P E S School of Engineering
20132,P G College,P G College
20133,P jogendra Kawade Arts Commerce,P jogendra Kawade Arts Commerce
20134,P K FOUNDATIONS P K TECHNICAL CAMPUS FACULTY OF ARCHITECTURE ENGINEERING MBA AND MCA,P K FOUNDATIONS P K TECHNICAL CAMPUS FACULTY OF ARCHITECTURE ENGINEERING MBA AND MCA
20135,P K R Arts College for Women ,P K R Arts College for Women 
20136,P M COLLEGE OF ARCHITECTURE ,P M COLLEGE OF ARCHITECTURE 
20137,P M Nadagowda Memorial Dental College & Hospital ,P M Nadagowda Memorial Dental College  Hospital 
20138,P M R Engineering College ,P M R Engineering College 
20139,P N M COLLEGE,P N M COLLEGE
20140,P N S Womens Institute of Technology,P N S Womens Institute of Technology
20141,P N SARODE COLLEGE OF ARTS,P N SARODE COLLEGE OF ARTS
20142,P R College of Nursing ,P R College of Nursing 
20143,P S COLLEGE OF NURSING,P S COLLEGE OF NURSING
20144,P S T COLLEGE,P S T COLLEGE
20145,P T E SOCIETY'S BCA/BBA COLLEGE,P T E SOCIETYS BCABBA COLLEGE
20146,P. Ahilyadevi College of Education,P. Ahilyadevi College of Education
20147,P. D. Law College,P. D. Law College
20148,P. D. Pandya Institute of Computer Application ,P. D. Pandya Institute of Computer Application 
20149,P. D. Pandya Mahila Commerce College ,P. D. Pandya Mahila Commerce College 
20150,P. D. Patel Institute of Applied Sciences ,P. D. Patel Institute of Applied Sciences 
20151,P. Deendayal Upadhyay Rajkiya Mahavidyalaya,P. Deendayal Upadhyay Rajkiya Mahavidyalaya
20152,P. K. ROY MEMORIAL COLLEGE,P. K. ROY MEMORIAL COLLEGE
20153,P. M. S. DEGREE COLLEGE,P. M. S. DEGREE COLLEGE
20154,P. N. Das College ,P. N. Das College 
20155,P. P. Chauhan Institute of Computer Application ,P. P. Chauhan Institute of Computer Application 
20156,P. P. K. College,P. P. K. College
20157,P. R. Pote ,P. R. Pote 
20158,P. Ramsvarup Dwivedi Mahavidyalaya ,P. Ramsvarup Dwivedi Mahavidyalaya 
20159,P. T. Arts and Commerce College ,P. T. Arts and Commerce College 
20160,P. T. Sarvjanik College of Science ,P. T. Sarvjanik College of Science 
20161,P. Trimurti Eve. College ,P. Trimurti Eve. College 
20162,P. V. A. E. College ,P. V. A. E. College 
20163,P.A Aziz College of Engineering and Technology,P.A Aziz College of Engineering and Technology
20164,P.A. College,P.A. College
20165,P.A. College of Education ,P.A. College of Education 
20166,P.A. First Grade College,P.A. First Grade College
20167,P.A.College of Engineering and Technology ,P.A.College of Engineering and Technology 
20168,P.A.Mahavidyalaya ,P.A.Mahavidyalaya 
20169,P.B. College ,P.B. College 
20170,P.B. College of Engineering ,P.B. College of Engineering 
20171,P.B. SIDDHARTHA COLLEGE OF ARTS & SCIENC ,P.B. SIDDHARTHA COLLEGE OF ARTS  SCIENC 
20172,P.B.N. College ,P.B.N. College 
20173,P.B.R. KRASHI MAHAVIDYALAYA,P.B.R. KRASHI MAHAVIDYALAYA
20174,P.C. College,P.C. College
20175,P.C.L. COMPUTER EDUCATION BETUL ,P.C.L. COMPUTER EDUCATION BETUL 
20176,P.C.S.T. COMPUTERS AMLA ,P.C.S.T. COMPUTERS AMLA 
20177,P.D. Jain Homoeopathy College,P.D. Jain Homoeopathy College
20178,P.D. MAHILA DEGREE COLLEGE,P.D. MAHILA DEGREE COLLEGE
20179,P.D.M. COLLEGE OF EDUCATION ,P.D.M. COLLEGE OF EDUCATION 
20180,P.D.M. college of Engineering ,P.D.M. college of Engineering 
20181,P.D.M. COMMERCE COLLEGE-RAJKOT ,P.D.M. COMMERCE COLLEGERAJKOT 
20182,P.D.M.College of Engg. Sarai Aurangabad Bahadurgarh ,P.D.M.College of Engg. Sarai Aurangabad Bahadurgarh 
20183,P.D.M.GRADUATE TEACHER'S COLLEGE-RAJKOT ,P.D.M.GRADUATE TEACHERS COLLEGERAJKOT 
20184,P.D.R. Vellachiammal College of Education ,P.D.R. Vellachiammal College of Education 
20185,P.D.U.MEDICAL COLLEGE,P.D.U.MEDICAL COLLEGE
20186,P.D.Upadhyay Dental College,P.D.Upadhyay Dental College
20187,P.E. Societys Modern College of Physi.,P.E. Societys Modern College of Physi.
20188,P.E.S College,P.E.S College
20189,P.E.S. College of Education,P.E.S. College of Education
20190,P.E.S. College of Engineering,P.E.S. College of Engineering
20191,P.E.S. College of Physical Education,P.E.S. College of Physical Education
20192,P.E.S. Degree College ,P.E.S. Degree College 
20193,P.E.S. Evening College,P.E.S. Evening College
20194,P.E.S. Institute of Advanced Management Studies,P.E.S. Institute of Advanced Management Studies
20195,P.E.S. Law College,P.E.S. Law College
20196,P.E.S.Degree College ,P.E.S.Degree College 
20197,P.E.Societys Modern College of Computer Studies & Business Studies,P.E.Societys Modern College of Computer Studies  Business Studies
20198,P.E.Societys Modern College of Pharmacy for women,P.E.Societys Modern College of Pharmacy for women
20199,P.E.T. College of Education,P.E.T. College of Education
20200,P.G College of Physical Education ,P.G College of Physical Education 
20201,P.G. Center,P.G. Center
20202,P.G. Centre,P.G. Centre
20203,P.G. COLLEGE,P.G. COLLEGE
20204,P.G. College of Law,P.G. College of Law
20205,P.G. COLLEGE OF NURSING,P.G. COLLEGE OF NURSING
20206,P.G. COLLEGE OF NURSINGH CENTER HOSPITAL ,P.G. COLLEGE OF NURSINGH CENTER HOSPITAL 
20207,P.G. COLLEGE OF TECHNOLOGY GUWAHATI ,P.G. COLLEGE OF TECHNOLOGY GUWAHATI 
20208,P.G.I. MANAGEMENT,P.G.I. MANAGEMENT
20209,P.G.K.M.S. Institute of Management,P.G.K.M.S. Institute of Management
20210,P.G.M. College,P.G.M. College
20211,P.G.P College of Arts & Science ,P.G.P College of Arts  Science 
20212,P.G.P. COLLEGE OF PHARMACEUTICAL SCIENCE AND RESEARCH INSTITUTE,P.G.P. COLLEGE OF PHARMACEUTICAL SCIENCE AND RESEARCH INSTITUTE
20213,P.G.P.COLLEGE OF NURSING AND RESEARCH,P.G.P.COLLEGE OF NURSING AND RESEARCH
20214,P.G.PATEL COMMERCE COLLEGE-MORBI ,P.G.PATEL COMMERCE COLLEGEMORBI 
20215,P.G.V. COLLEGE ,P.G.V. COLLEGE 
20216,P.H.R.M Degree & P.G College,P.H.R.M Degree  P.G College
20217,P.I.Degree College ,P.I.Degree College 
20218,P.I.E.T COLLEGE OF EDUCATION GHAAT ROAD,P.I.E.T COLLEGE OF EDUCATION GHAAT ROAD
20219,P.Indra Reddy Memorial Engineering College ,P.Indra Reddy Memorial Engineering College 
20220,P.J.N. Memorial Institute of Homoe.,P.J.N. Memorial Institute of Homoe.
20221,P.J.N.M. Arts College,P.J.N.M. Arts College
20222,P.K. DEGREE COLLEGE HATHRAS ROAD SONAI,P.K. DEGREE COLLEGE HATHRAS ROAD SONAI
20223,P.K. INSTITUTE OF TECHNOLOGY AND MANAGEMENT,P.K. INSTITUTE OF TECHNOLOGY AND MANAGEMENT
20224,P.K.College,P.K.College
20225,P.K.D. College of Education ,P.K.D. College of Education 
20226,P.K.K.M. College of Applied Science,P.K.K.M. College of Applied Science
20227,P.K.M. College of Education,P.K.M. College of Education
20228,P.K.N. COLLEGE OF ARTS & SCIENCE ,P.K.N. COLLEGE OF ARTS  SCIENCE 
20229,P.K.R. Jain College of Education ,P.K.R. Jain College of Education 
20230,P.K.S.S.College ,P.K.S.S.College 
20231,P.L. Dubey Memorial Sanskrit TT College ,P.L. Dubey Memorial Sanskrit TT College 
20232,P.L. Dubey Memorial T.T. College,P.L. Dubey Memorial T.T. College
20233,P.L. MEMORIAL MAHAVIDYALAYA,P.L. MEMORIAL MAHAVIDYALAYA
20234,P.L.M. College Jhanjharpur ,P.L.M. College Jhanjharpur 
20235,P.L.S. COMPUTER ACADEMY BAGDONA ,P.L.S. COMPUTER ACADEMY BAGDONA 
20236,P.L.S.College,P.L.S.College
20237,P.L.V. Memorial College,P.L.V. Memorial College
20238,P.M. College of Engineering ,P.M. College of Engineering 
20239,P.M.B. Gujarati Arts College,P.M.B. Gujarati Arts College
20240,P.M.B. Gujarati Commerce College,P.M.B. Gujarati Commerce College
20241,P.M.B. Gujarati Science College,P.M.B. Gujarati Science College
20242,P.M.COLLEGE OF EDUCATION,P.M.COLLEGE OF EDUCATION
20243,P.M.J. College,P.M.J. College
20244,P.M.M.Degree College,P.M.M.Degree College
20245,P.M.Mahavidyalaya ,P.M.Mahavidyalaya 
20246,P.M.N.Degree College ,P.M.N.Degree College 
20247,P.M.S. College,P.M.S. College
20248,P.M.S. MAHAVIDYALAYA,P.M.S. MAHAVIDYALAYA
20249,P.M.T. College,P.M.T. College
20250,P.M.T. COLLEGE ,P.M.T. COLLEGE 
20251,P.N. College of Lib.& Information Science,P.N. College of Lib. Information Science
20252,P.N. Panicker Souhruda Ayurveda Medical College ,P.N. Panicker Souhruda Ayurveda Medical College 
20253,P.N.C & K.R. College ,P.N.C  K.R. College 
20254,P.N.C. & K.R College of Nursing,P.N.C.  K.R College of Nursing
20255,P.N.C.A Degree College ,P.N.C.A Degree College 
20256,P.N.K. College,P.N.K. College
20257,P.N.S. College,P.N.S. College
20258,P.N.T.College,P.N.T.College
20259,P.P.College,P.P.College
20260,P.P.G. College of Education ,P.P.G. College of Education 
20261,P.P.G. COLLEGE OF NURSING,P.P.G. COLLEGE OF NURSING
20262,P.P.G. COLLEGE OF PHYSIOTHERAPY,P.P.G. COLLEGE OF PHYSIOTHERAPY
20263,P.P.Mahavidyalaya,P.P.Mahavidyalaya
20264,P.P.N. P.G. COLLEGE,P.P.N. P.G. COLLEGE
20265,P.R. Engineering College ,P.R. Engineering College 
20266,P.R. GOVT. MAHILA COLLEGE,P.R. GOVT. MAHILA COLLEGE
20267,P.R. Patil College of Architecture,P.R. Patil College of Architecture
20268,P.R. RAJPOOT COLLEGE,P.R. RAJPOOT COLLEGE
20269,P.R.D.College of Education ,P.R.D.College of Education 
20270,P.R.Govt.Degree College,P.R.Govt.Degree College
20271,P.R.P.M. DEGREE COLLEGE ,P.R.P.M. DEGREE COLLEGE 
20272,P.R.Patil College of Engineering & Technology,P.R.Patil College of Engineering  Technology
20273,P.R.Patil College of Management,P.R.Patil College of Management
20274,P.R.S. COMPTECH PVT. LTD ,P.R.S. COMPTECH PVT. LTD 
20275,P.R.S.M. NATIONAL COLLEGE ,P.R.S.M. NATIONAL COLLEGE 
20276,P.Rami Reddy Memorial College of Pharmacy ,P.Rami Reddy Memorial College of Pharmacy 
20277,P.S College,P.S College
20278,P.S. College,P.S. College
20279,P.S. Government Degree College,P.S. Government Degree College
20280,P.S. MUTHU COLLEGE OF ARTS & SCIENCE ,P.S. MUTHU COLLEGE OF ARTS  SCIENCE 
20281,P.S.+3 College ,P.S. College 
20282,P.S.+3 Degree College ,P.S. Degree College 
20283,P.S.+3 Mahavidyalaya ,P.S. Mahavidyalaya 
20284,P.S.B. College of Education ,P.S.B. College of Education 
20285,P.S.B. Government College,P.S.B. Government College
20286,P.S.College,P.S.College
20287,P.S.College ,P.S.College 
20288,P.S.Degree College,P.S.Degree College
20289,P.S.Degree College ,P.S.Degree College 
20290,P.S.G. COLLEGE OF NURSING,P.S.G. COLLEGE OF NURSING
20291,P.S.G. COLLEGE OF PARAMEDICAL SCIENCES,P.S.G. COLLEGE OF PARAMEDICAL SCIENCES
20292,P.S.G. COLLEGE OF PHARMACY,P.S.G. COLLEGE OF PHARMACY
20293,P.S.G. INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,P.S.G. INSTITUTE OF MEDICAL SCIENCES AND RESEARCH
20294,P.S.M. DEGREE COLLEGE,P.S.M. DEGREE COLLEGE
20295,P.S.N. Murthy Degree College ,P.S.N. Murthy Degree College 
20296,P.S.N.A. College of Engineering and Technology,P.S.N.A. College of Engineering and Technology
20297,P.S.N.Murthy Degree College ,P.S.N.Murthy Degree College 
20298,P.S.P.M. Mahila Homoeopathy College,P.S.P.M. Mahila Homoeopathy College
20299,P.S.R. College of Education ,P.S.R. College of Education 
20300,P.S.R. Law College ,P.S.R. Law College 
20301,P.S.R.Engineering College ,P.S.R.Engineering College 
20302,P.S.R.Rengasamy College of Engineering for Women ,P.S.R.Rengasamy College of Engineering for Women 
20303,P.S.S.J.College,P.S.S.J.College
20304,P.S.S.R College of Arts & Science ,P.S.S.R College of Arts  Science 
20305,P.S.Santak Mahavidyalaya,P.S.Santak Mahavidyalaya
20306,P.S.V.College of Engineering and Technology ,P.S.V.College of Engineering and Technology 
20307,P.S.Y. College of Education ,P.S.Y. College of Education 
20308,P.Sc. College,P.Sc. College
20309,P.T. Lee Chengalvaraya Naicker College of Engineering and Technology ,P.T. Lee Chengalvaraya Naicker College of Engineering and Technology 
20310,P.T. School and Centre,P.T. School and Centre
20311,P.T.M. Arya College,P.T.M. Arya College
20312,P.T.P.S. COLLEGE,P.T.P.S. COLLEGE
20313,P.V Ramreddy P.G College ,P.V Ramreddy P.G College 
20314,P.V. College of Nursing,P.V. College of Nursing
20315,P.V. Degree College,P.V. Degree College
20316,P.V.D.T. College of Education for Women ,P.V.D.T. College of Education for Women 
20317,P.V.E.S. DEGREE COLLEGE FOR WOMEN ,P.V.E.S. DEGREE COLLEGE FOR WOMEN 
20318,P.V.G.s College of Engineering and Technology,P.V.G.s College of Engineering and Technology
20319,P.V.K.K. Degree College,P.V.K.K. Degree College
20320,P.V.P. First Grade Evening College,P.V.P. First Grade Evening College
20321,P.V.P.College of Arts,P.V.P.College of Arts
20322,P.V.R.Trust Degree College ,P.V.R.Trust Degree College 
20323,P.V.S. B.Ed,P.V.S. B.Ed
20324,P.V.Skt.College,P.V.Skt.College
20325,Paavaai Group of Institutions ,Paavaai Group of Institutions 
20326,Paavai College of Education ,Paavai College of Education 
20327,Paavai College of Engineering ,Paavai College of Engineering 
20328,Paavai Engineering College ,Paavai Engineering College 
20329,Paavendar College of Arts & Science ,Paavendar College of Arts  Science 
20330,Pabitranager +3 Mahavidyalaya,Pabitranager  Mahavidyalaya
20331,PACE COMPUTER INSTITUTE,PACE COMPUTER INSTITUTE
20332,Pace Computer Institute ,Pace Computer Institute 
20333,PACE Institution of Technology & Sciences,PACE Institution of Technology  Sciences
20334,PACHAIYAPPAS COLLEGE CHENNAI ,PACHAIYAPPAS COLLEGE CHENNAI 
20335,PACHAIYAPPAS COLLEGE FOR MEN ,PACHAIYAPPAS COLLEGE FOR MEN 
20336,PACHAIYAPPAS COLLEGE FOR WOMEN ,PACHAIYAPPAS COLLEGE FOR WOMEN 
20337,Pachamuthu College of Arts & Science for Women ,Pachamuthu College of Arts  Science for Women 
20338,Pachamuthu College of Education ,Pachamuthu College of Education 
20339,Pachhunga University College ,Pachhunga University College 
20340,Pachim Dhemaji College P.O.Ghuguha Dol,Pachim Dhemaji College P.O.Ghuguha Dol
20341,Pachim Jonai College P.O. Dekapam Dist. Dhemaji Pin. 787061 ,Pachim Jonai College P.O. Dekapam Dist. Dhemaji Pin.  
20342,Pachottar Mahavidyalaya,Pachottar Mahavidyalaya
20343,Pacific Business School ,Pacific Business School 
20344,PACIFIC COLLEGE,PACIFIC COLLEGE
20345,Pacific College of Engineering,Pacific College of Engineering
20346,Pacific College of Physiotherapy,Pacific College of Physiotherapy
20347,PACIFIC COLLEGE OF TEACHERS EDUCATION,PACIFIC COLLEGE OF TEACHERS EDUCATION
20348,Pacific Inst of Tech ,Pacific Inst of Tech 
20349,Pacific Institute of Engineering,Pacific Institute of Engineering
20350,Pacific Institute of Hotel Management,Pacific Institute of Hotel Management
20351,Pacific Institute of Management ,Pacific Institute of Management 
20352,Pacific Institute of Technology,Pacific Institute of Technology
20353,Pad Dr D YPatil College of Architecture Dr DYPatil Vidya Nagar Sector 7 Nerul Navi Mumbai 400 706 ,Pad Dr D YPatil College of Architecture Dr DYPatil Vidya Nagar Sector  Nerul Navi Mumbai   
20354,Pad Dr. D.Y. Patil Ayurved College,Pad Dr. D.Y. Patil Ayurved College
20355,Pad. Dr. V.V. Patil Foundations Medical College,Pad. Dr. V.V. Patil Foundations Medical College
20356,Pad. Dr. V.V.Patil Foundations College of Nursing,Pad. Dr. V.V.Patil Foundations College of Nursing
20357,PADALA DEGREE COLLEGE,PADALA DEGREE COLLEGE
20358,Padala Ram Reddy Degree College ,Padala Ram Reddy Degree College 
20359,Padala Rama Reddy Law College ,Padala Rama Reddy Law College 
20360,Padam Shri Vijaydan Detha Mahila Mahavidyalaya,Padam Shri Vijaydan Detha Mahila Mahavidyalaya
20361,Padamshree Ajit Wadekar Physical Education College,Padamshree Ajit Wadekar Physical Education College
20362,Padamshri. Dr.Vitthalrao Vikhe Patil Foundations College of Pharmacy,Padamshri. Dr.Vitthalrao Vikhe Patil Foundations College of Pharmacy
20363,Padamshri. Dr.Vitthalrao Vikhe Patil Foundations Padamshri. Dr.Vitthalrao Vikhe Patil College of Engineering,Padamshri. Dr.Vitthalrao Vikhe Patil Foundations Padamshri. Dr.Vitthalrao Vikhe Patil College of Engineering
20364,Padma Chandra College of Nursing,Padma Chandra College of Nursing
20365,Padma College of Education Jhabua ,Padma College of Education Jhabua 
20366,Padma College of Management & Science,Padma College of Management  Science
20367,PADMA DEVI INSTITUTE OF COMPUTER & ENGINEERING RAIPUR ,PADMA DEVI INSTITUTE OF COMPUTER  ENGINEERING RAIPUR 
20368,Padmabhooshan Vasantraodada Patil Institute of Technology,Padmabhooshan Vasantraodada Patil Institute of Technology
20369,Padmabhushan Dr. Vasantraodada Patil Mahavidyalaya,Padmabhushan Dr. Vasantraodada Patil Mahavidyalaya
20370,Padmabhushan Vasantdada Patil,Padmabhushan Vasantdada Patil
20371,Padmabhushan Vasantdada Patil Pratisthans College of Engineering Eastern Express Highway Near Everard Nagar Sion-Trombay Road Mumbai 400 022 ,Padmabhushan Vasantdada Patil Pratisthans College of Engineering Eastern Express Highway Near Everard Nagar SionTrombay Road Mumbai   
20372,Padmabhushan Vasantraodada Patil Mahavidyalaya,Padmabhushan Vasantraodada Patil Mahavidyalaya
20373,Padmaja Naidu College of Music ,Padmaja Naidu College of Music 
20374,Padmanav College of Engineering ,Padmanav College of Engineering 
20375,PADMARAJ B.ED COLLEGE,PADMARAJ B.ED COLLEGE
20376,Padmashree Appasaheb Pawar Arts,Padmashree Appasaheb Pawar Arts
20377,Padmashree College of Education,Padmashree College of Education
20378,Padmashree College of Education ,Padmashree College of Education 
20379,Padmashree College of Hopspital Management ,Padmashree College of Hopspital Management 
20380,Padmashree College of MHA ,Padmashree College of MHA 
20381,Padmashree College of Nursing ,Padmashree College of Nursing 
20382,Padmashree Dr. D. Y. Patil College of Nursing,Padmashree Dr. D. Y. Patil College of Nursing
20383,Padmashree Dr. D. Y. Patil College of Physiotherapy,Padmashree Dr. D. Y. Patil College of Physiotherapy
20384,Padmashree Dr. D. Y. Patil Medical College,Padmashree Dr. D. Y. Patil Medical College
20385,Padmashree Dr. Vikhe Patil Foundations Insitute of Business Management and Rural Development M.B.A. Centre,Padmashree Dr. Vikhe Patil Foundations Insitute of Business Management and Rural Development M.B.A. Centre
