,College Name,New_name
32523,Terasa College of Education ,Terasa College of Education 
32524,Teresian College,Teresian College
32525,TERF's Academy College of Arts and Science ,TERFs Academy College of Arts and Science 
32526,Teri P.G. Collage,Teri P.G. Collage
32527,Terna Dental College,Terna Dental College
32528,Terna Medical College,Terna Medical College
32529,Terna Public Charitable Trust s College of Physiotherapy,Terna Public Charitable Trust s College of Physiotherapy
32530,Terna Public Charitable Trusts,Terna Public Charitable Trusts
32531,Terna Public Charitable Trust's College of Education,Terna Public Charitable Trusts College of Education
32532,Terna Public Charitable Trust's College of Engineering,Terna Public Charitable Trusts College of Engineering
32533,Terna Public Charitable Trust's Terna Arts,Terna Public Charitable Trusts Terna Arts
